selec,filename,recording.id,target,fold
5098,5098_0,15646,0,4
8019,,15629,1,0
1116,1116_0,19145,0,3
5093,5093_14,15645,0,4
5075,,15609,1,4
5089,5089_10,15623,0,2
5087,5087_7,15622,0,4
11227,,25785,1,0
8099,,11603,1,1
11252,,26062,1,4
5080,5080_9,15619,0,3
7941,,27072,1,3
5086,5086_14,15621,0,3
5081,5081_12,15620,0,2
5905,,27295,1,1
1014,,16819,1,3
5108,5108_6,19666,0,4
5485,5485_15,11602,0,1
5086,5086_18,15621,0,3
2,,11599,1,0
5564,5564_24,20631,0,2
11177,,26485,1,1
8201,,15602,1,2
6400,,14669,1,0
5233,5233_8,15664,0,2
11213,,26487,1,3
5102,5102_6,15648,0,1
8049,,15629,1,0
11144,,26478,1,1
11191,,26486,1,4
8238,,28205,1,3
7948,,27073,1,1
11225,,25785,1,0
5054,5054_0,15603,0,4
6397,,14668,1,3
11186,,26485,1,1
5106,5106_9,19665,0,1
800,,12156,1,4
6437,,14687,1,0
11229,,25785,1,0
807,,12157,1,3
6597,,30926,1,0
5229,5229_3,15631,0,1
8203,,15602,1,2
8116,,11604,1,3
5239,5239_14,15666,0,3
5083,5083_15,15620,0,2
5231,5231_9,15663,0,2
6602,,30928,1,4
7947,,27073,1,1
11211,,26487,1,3
5919,,27298,1,2
5062,,15609,1,4
11206,,26487,1,3
5560,5560_0,20622,0,0
5094,5094_10,15645,0,4
5101,5101_7,15648,0,1
5239,5239_25,15666,0,3
8024,,15629,1,0
5061,,15609,1,4
11216,,26487,1,3
5089,5089_16,15623,0,2
7938,,27071,1,3
5058,5058_3,15606,0,2
5056,5056_6,15605,0,0
11185,,26485,1,1
1122,,19145,1,3
5064,,15609,1,4
5565,5565_0,20632,0,4
787,,12154,1,1
11195,,26487,1,3
11212,,26487,1,3
5110,5110_10,19668,0,2
7908,,28206,1,3
5486,5486_0,11602,0,1
864,,12735,1,1
5084,5084_2,15620,0,2
6598,,30927,1,0
8151,,11607,1,2
5239,5239_10,15666,0,3
5058,5058_11,15606,0,2
8139,,11606,1,1
8048,,15629,1,0
8119,,11604,1,3
1101,,19143,1,3
7914,,28206,1,3
7955,,27074,1,0
8106,,11603,1,1
8150,,11607,1,2
6394,,14668,1,3
5082,5082_0,15620,0,2
5057,5057_8,15605,0,0
8149,,11607,1,2
5920,,27298,1,2
7909,,28206,1,3
8037,,15629,1,0
11258,,26063,1,0
5114,5114_2,19671,0,2
1020,,16822,1,1
11219,,25781,1,1
5233,5233_1,15664,0,2
8124,,11605,1,0
5083,5083_16,15620,0,2
5240,5240_3,15666,0,3
8153,,11607,1,2
1112,,19145,1,3
7936,,27071,1,3
5,,11599,1,0
5102,5102_13,15648,0,1
5087,5087_4,15622,0,4
5239,5239_0,15666,0,3
8120,,11604,1,3
6596,,30926,1,0
5223,5223_3,15588,0,0
8011,,15629,1,0
5908,,27295,1,1
5902,,27293,1,2
5065,,15609,1,4
5104,5104_8,15649,0,0
1147,,19366,1,2
5227,5227_3,15628,0,4
11183,,26485,1,1
5485,5485_12,11602,0,1
11253,,26063,1,0
11247,,26062,1,4
5101,5101_15,15648,0,1
11207,,26487,1,3
5060,,15609,1,4
11267,,26066,1,2
5059,5059_10,15607,0,4
11270,,26066,1,2
11154,,26485,1,1
5055,5055_19,15604,0,0
5103,5103_19,15649,0,0
1099,,19142,1,4
8046,,15629,1,0
11268,,26066,1,2
7940,,27072,1,3
5093,5093_11,15645,0,4
5114,5114_0,19671,0,2
860,,12735,1,1
5085,5085_0,15621,0,3
8018,,15629,1,0
6604,,30928,1,4
6380,,14666,1,1
10,,11600,1,3
5095,5095_21,15645,0,4
1116,1116_6,19145,0,3
1113,,19145,1,3
1123,,19146,1,1
5056,5056_9,15605,0,0
1121,,19145,1,3
5112,5112_0,19670,0,4
1125,,19146,1,1
5485,5485_6,11602,0,1
11248,,26062,1,4
1136,,19146,1,1
6599,,30927,1,0
11246,,26062,1,4
8105,,11603,1,1
5240,5240_7,15666,0,3
6385,,14667,1,3
5084,5084_6,15620,0,2
5089,5089_17,15623,0,2
1111,,19145,1,3
5485,5485_0,11602,0,1
6438,,14687,1,0
5058,5058_18,15606,0,2
5921,,27299,1,1
5485,5485_5,11602,0,1
1134,,19146,1,1
5108,5108_9,19666,0,4
5103,5103_10,15649,0,0
5109,5109_22,19668,0,2
5095,5095_25,15645,0,4
5082,5082_12,15620,0,2
5106,5106_3,19665,0,1
5561,5561_0,20624,0,3
7959,,27074,1,0
5240,5240_0,15666,0,3
11256,,26063,1,0
5081,5081_13,15620,0,2
5074,,15609,1,4
8114,,11603,1,1
8138,,11606,1,1
5109,5109_4,19668,0,2
11201,,26487,1,3
5918,,27298,1,2
8056,,15629,1,0
5090,5090_1,15623,0,2
11282,,40559,1,0
5103,5103_7,15649,0,0
5560,5560_3,20622,0,0
1012,,16819,1,3
5227,5227_9,15628,0,4
22,,11601,1,4
6916,,33659,1,4
6401,,14669,1,0
8145,,11607,1,2
5223,5223_11,15588,0,0
5112,5112_9,19670,0,4
5084,5084_3,15620,0,2
1142,,19365,1,0
11223,,25781,1,1
9,,11600,1,3
8147,,11607,1,2
11215,,26487,1,3
11231,,25785,1,0
11168,,26485,1,1
5094,5094_13,15645,0,4
11165,,26485,1,1
5109,5109_2,19668,0,2
5085,5085_3,15621,0,3
6594,,30926,1,0
1107,,19144,1,4
5072,,15609,1,4
5070,,15609,1,4
5239,5239_3,15666,0,3
5562,5562_0,20629,0,3
8012,,15629,1,0
1017,,16822,1,1
794,,12155,1,4
5054,5054_6,15603,0,4
11148,,26483,1,2
5101,5101_11,15648,0,1
8140,,11606,1,1
5069,,15609,1,4
11271,,26066,1,2
5100,5100_12,15646,0,4
5565,5565_3,20632,0,4
1104,,19144,1,4
6391,,14667,1,3
809,,12157,1,3
5088,5088_6,15623,0,2
1129,,19146,1,1
785,,12153,1,0
5555,5555_3,20621,0,4
5239,5239_24,15666,0,3
8144,,11607,1,2
8142,,11606,1,1
7937,,27071,1,3
5050,,15590,1,3
5558,5558_0,20621,0,4
5082,5082_15,15620,0,2
5073,,15609,1,4
24,,11601,1,4
11151,,26483,1,2
1143,,19365,1,0
6377,,14665,1,2
5904,,27295,1,1
5087,5087_14,15622,0,4
8051,,15629,1,0
8020,,15629,1,0
8036,,15629,1,0
5077,,15609,1,4
8043,,15629,1,0
5085,5085_14,15621,0,3
11203,,26487,1,3
5090,5090_12,15623,0,2
8212,,24001,1,0
8055,,15629,1,0
7952,,27074,1,0
5058,5058_7,15606,0,2
18,,11601,1,4
5237,5237_6,15666,0,3
5084,5084_12,15620,0,2
5240,5240_11,15666,0,3
5084,5084_0,15620,0,2
5090,5090_13,15623,0,2
6392,,14667,1,3
5094,5094_6,15645,0,4
7916,,28206,1,3
6402,,14670,1,4
5096,5096_11,15645,0,4
5080,5080_6,15619,0,3
5234,5234_11,15664,0,2
5223,5223_0,15588,0,0
5111,5111_16,19669,0,1
8057,,15629,1,0
8207,,15602,1,2
5099,5099_9,15646,0,4
11159,,26485,1,1
8141,,11606,1,1
5088,5088_0,15623,0,2
1131,,19146,1,1
5053,,15599,1,2
5231,5231_14,15663,0,2
5081,5081_10,15620,0,2
5086,5086_22,15621,0,3
8047,,15629,1,0
6379,,14666,1,1
5228,5228_10,15628,0,4
5058,5058_22,15606,0,2
8188,,15642,1,0
6590,,30926,1,0
5085,5085_7,15621,0,3
7935,,27071,1,3
8042,,15629,1,0
8052,,15629,1,0
5089,5089_3,15623,0,2
3,,11599,1,0
857,,12735,1,1
8111,,11603,1,1
6605,,30928,1,4
5233,5233_5,15664,0,2
5109,5109_18,19668,0,2
8033,,15629,1,0
1114,,19145,1,3
11255,,26063,1,0
5114,5114_17,19671,0,2
812,,12158,1,0
5084,5084_9,15620,0,2
5227,5227_0,15628,0,4
8191,,15642,1,0
8206,,15602,1,2
7926,,27069,1,1
5555,5555_0,20621,0,4
8148,,11607,1,2
862,,12735,1,1
5111,5111_0,19669,0,1
5089,5089_13,15623,0,2
6595,,30926,1,0
5056,5056_2,15605,0,0
11189,,26485,1,1
5099,5099_11,15646,0,4
6399,,14669,1,0
11,,11600,1,3
11230,,25785,1,0
21,,11601,1,4
5083,5083_3,15620,0,2
5099,5099_0,15646,0,4
7910,,28206,1,3
5228,5228_2,15628,0,4
1140,,19147,1,2
7913,,28206,1,3
11257,,26063,1,0
11194,,26486,1,4
7956,,27074,1,0
5098,5098_10,15646,0,4
5109,5109_0,19668,0,2
5915,5915_0,27297,0,1
5106,5106_6,19665,0,1
5556,5556_3,20621,0,4
11170,,26485,1,1
6592,,30926,1,0
5095,5095_10,15645,0,4
1132,,19146,1,1
5564,5564_10,20631,0,2
5099,5099_12,15646,0,4
1128,,19146,1,1
11190,,26486,1,4
5486,5486_3,11602,0,1
11192,,26486,1,4
5102,5102_12,15648,0,1
8121,,11604,1,3
5114,5114_18,19671,0,2
11202,,26487,1,3
5107,5107_30,19666,0,4
7942,,27072,1,3
8204,,15602,1,2
5048,,15590,1,3
7911,,28206,1,3
5041,,15589,1,2
29,,11601,1,4
5562,5562_3,20629,0,3
5100,5100_5,15646,0,4
776,,12151,1,3
11208,,26487,1,3
5235,5235_12,15665,0,0
7917,,28206,1,3
1025,,16825,1,2
5102,5102_9,15648,0,1
5103,5103_0,15649,0,0
6448,,14704,1,3
7925,,27069,1,1
5485,5485_3,11602,0,1
7958,,27074,1,0
8146,,11607,1,2
11228,,25785,1,0
1124,,19146,1,1
5082,5082_6,15620,0,2
8211,,24001,1,0
5922,,27299,1,1
5059,5059_14,15607,0,4
865,,12735,1,1
8034,,15629,1,0
8113,,11603,1,1
11273,,26066,1,2
780,,12152,1,2
8133,,11605,1,0
8135,,11605,1,0
11187,,26485,1,1
11164,,26485,1,1
781,,12152,1,2
8237,,28205,1,3
779,,12152,1,2
8129,,11605,1,0
5078,,15609,1,4
11196,,26487,1,3
8189,,15642,1,0
5107,5107_21,19666,0,4
8202,,15602,1,2
11198,,26487,1,3
7951,,27074,1,0
5107,5107_11,19666,0,4
5914,,27297,1,1
26,,11601,1,4
11175,,26485,1,1
5104,5104_14,15649,0,0
11232,,25790,1,4
11173,,26485,1,1
5241,5241_3,15667,0,4
5095,5095_18,15645,0,4
11251,,26062,1,4
799,,12156,1,4
5082,5082_20,15620,0,2
8029,,15629,1,0
5237,5237_9,15666,0,3
8108,,11603,1,1
5099,5099_15,15646,0,4
6378,,14666,1,1
5086,5086_21,15621,0,3
8015,,15629,1,0
8137,,11606,1,1
5111,5111_20,19669,0,1
1023,,16825,1,2
8155,,11607,1,2
6387,,14667,1,3
1024,,16825,1,2
788,,12154,1,1
5104,5104_1,15649,0,0
11193,,26486,1,4
8209,,24000,1,1
777,,12151,1,3
11281,,40559,1,0
5562,5562_6,20629,0,3
1011,,16819,1,3
5110,5110_6,19668,0,2
5110,5110_0,19668,0,2
7931,,27069,1,1
5234,5234_4,15664,0,2
5091,5091_12,15624,0,2
7939,,27071,1,3
5057,5057_5,15605,0,0
5082,5082_5,15620,0,2
11150,,26483,1,2
5058,5058_14,15606,0,2
5223,5223_15,15588,0,0
11162,,26485,1,1
5110,5110_13,19668,0,2
5113,5113_9,19670,0,4
5057,5057_12,15605,0,0
805,,12157,1,3
1126,,19146,1,1
5096,5096_4,15645,0,4
8131,,11605,1,0
8028,,15629,1,0
5098,5098_14,15646,0,4
6449,,14704,1,3
8136,,11605,1,0
1098,,19142,1,4
5045,,15589,1,2
5235,5235_9,15665,0,0
856,,12735,1,1
7924,,27069,1,1
8117,,11604,1,3
8013,,15629,1,0
5059,5059_17,15607,0,4
5109,5109_14,19668,0,2
8130,,11605,1,0
5113,5113_14,19670,0,4
11167,,26485,1,1
859,,12735,1,1
5111,5111_12,19669,0,1
5564,5564_7,20631,0,2
1118,,19145,1,3
5234,5234_0,15664,0,2
5054,5054_3,15603,0,4
5096,5096_8,15645,0,4
7954,,27074,1,0
8039,,15629,1,0
5563,5563_0,20630,0,1
5237,5237_13,15666,0,3
5106,5106_0,19665,0,1
7957,,27074,1,0
11204,,26487,1,3
5239,5239_21,15666,0,3
5058,5058_0,15606,0,2
5080,5080_3,15619,0,3
1144,,19366,1,2
806,,12157,1,3
5081,5081_6,15620,0,2
8208,,15602,1,2
8022,,15629,1,0
8118,,11604,1,3
6447,,14704,1,3
11145,,26478,1,1
5100,5100_16,15646,0,4
1138,,19147,1,2
1105,,19144,1,4
11249,,26062,1,4
8122,,11604,1,3
5056,5056_13,15605,0,0
5071,,15609,1,4
5232,5232_8,15663,0,2
8038,,15629,1,0
1130,,19146,1,1
1139,,19147,1,2
8194,,15644,1,3
5082,5082_18,15620,0,2
8213,,24001,1,0
5040,,15589,1,2
11180,,26485,1,1
5090,5090_5,15623,0,2
8021,,15629,1,0
1018,,16822,1,1
5085,5085_10,15621,0,3
8125,,11605,1,0
8190,,15642,1,0
11163,,26485,1,1
8032,,15629,1,0
8123,,11604,1,3
6388,,14667,1,3
775,,12151,1,3
11272,,26066,1,2
11222,,25781,1,1
8031,,15629,1,0
8156,,11607,1,2
6384,,14667,1,3
5057,5057_15,15605,0,0
28,,11601,1,4
8104,,11603,1,1
5104,5104_11,15649,0,0
5113,5113_12,19670,0,4
5102,5102_0,15648,0,1
5109,5109_11,19668,0,2
8109,,11603,1,1
6396,,14668,1,3
5114,5114_6,19671,0,2
1108,,19145,1,3
5096,5096_0,15645,0,4
5228,5228_6,15628,0,4
5912,,27297,1,1
5235,5235_6,15665,0,0
4,,11599,1,0
5093,5093_15,15645,0,4
5112,5112_6,19670,0,4
1145,,19366,1,2
5088,5088_3,15623,0,2
8027,,15629,1,0
1109,,19145,1,3
5084,5084_5,15620,0,2
5094,5094_17,15645,0,4
5093,5093_4,15645,0,4
7934,,27071,1,3
5104,5104_4,15649,0,0
5234,5234_7,15664,0,2
5101,5101_0,15648,0,1
11261,,26063,1,0
5237,5237_3,15666,0,3
6403,,14670,1,4
5088,5088_9,15623,0,2
8247,,33655,1,2
861,,12735,1,1
11259,,26063,1,0
5239,5239_7,15666,0,3
5228,5228_14,15628,0,4
5556,5556_0,20621,0,4
8016,,15629,1,0
11179,,26485,1,1
1022,,16822,1,1
11161,,26485,1,1
1110,,19145,1,3
8132,,11605,1,0
11205,,26487,1,3
5067,,15609,1,4
11188,,26485,1,1
5112,5112_13,19670,0,4
792,,12155,1,4
5112,5112_3,19670,0,4
8143,,11607,1,2
5091,5091_4,15624,0,2
8110,,11603,1,1
5093,5093_1,15645,0,4
5094,5094_0,15645,0,4
1102,,19143,1,3
5101,5101_3,15648,0,1
1120,,19145,1,3
5091,5091_2,15624,0,2
791,,12155,1,4
5108,5108_3,19666,0,4
5231,5231_12,15663,0,2
5090,5090_0,15623,0,2
1116,1116_3,19145,0,3
7929,,27069,1,1
7928,,27069,1,1
8010,,15629,1,0
5235,5235_3,15665,0,0
8115,,11604,1,3
5903,,27293,1,2
11200,,26487,1,3
5906,,27295,1,1
5555,5555_6,20621,0,4
5080,5080_0,15619,0,3
1103,,19144,1,4
5227,5227_6,15628,0,4
8100,,11603,1,1
5087,5087_0,15622,0,4
5081,5081_2,15620,0,2
1100,,19142,1,4
11244,,26062,1,4
6915,,33657,1,4
8101,,11603,1,1
5558,5558_3,20621,0,4
23,,11601,1,4
5055,5055_5,15604,0,0
6383,,14667,1,3
6393,,14668,1,3
5907,,27295,1,1
7907,,28206,1,3
27,,11601,1,4
7950,,27074,1,0
790,,12155,1,4
5083,5083_9,15620,0,2
5082,5082_3,15620,0,2
11214,,26487,1,3
804,,12157,1,3
5042,,15589,1,2
8192,,15644,1,3
863,,12735,1,1
5910,,27297,1,1
11184,,26485,1,1
11169,,26485,1,1
11172,,26485,1,1
20,,11601,1,4
19,,11601,1,4
5113,5113_0,19670,0,4
