fold,classifier,accuracy,AP,best_F1,best_threshold
0,svc,0.8733624454148472,0.9766989895877255,0.9298245614030088,0.23919771118510197
0,rfc,0.8558951965065502,0.9757363510801034,0.9116809116804117,0.43
0,xgb,0.834061135371179,0.9730457602259839,0.9066666666661692,0.06702058762311935
1,svc,0.8733624454148472,0.9757348629613378,0.9268292682921845,-0.16943907209655107
1,rfc,0.8646288209606987,0.9773859829025374,0.9212827988333193,0.48
1,xgb,0.8602620087336245,0.9755492562445625,0.9139784946231579,0.10421686619520187
2,svc,0.8864628820960698,0.9777730384843841,0.9285714285709296,-0.060256977554689756
2,rfc,0.8384279475982532,0.9729385025501234,0.9217877094967071,0.42
2,xgb,0.851528384279476,0.9713002230164027,0.9196675900272013,0.31395357847213745
3,svc,0.8733624454148472,0.9773712484705127,0.9268292682921845,-0.08977638281774511
3,rfc,0.851528384279476,0.9782408254259192,0.9272237196760518,0.37
3,xgb,0.8296943231441049,0.973435028792877,0.9184782608690667,0.2683204412460327
4,svc,0.8733624454148472,0.9772596659060191,0.926027397259775,-0.06934982423130469
4,rfc,0.8558951965065502,0.9779457263945901,0.926027397259775,0.39
4,xgb,0.868995633187773,0.9730379234457219,0.9204545454540454,0.4681660234928131
