"event.id","channel","start","end","bottom.freq","top.freq","species.code","common.name","annotation","recording.id","deploy.id"
2237,1,160.73,161.324,3.4895,7.1082,"eurwoo","Eurasian Woodcock","whistle",11722,"14569_1_2020_06_11_FVA133"
2280,1,384.992,385.362,4.3487,8.6564,"eurwoo","Eurasian Woodcock","whistle",11610,"14569_1_2020_06_11_FVA133"
2287,1,34.097,34.511,5.4154,8.1231,"eurwoo","Eurasian Woodcock","whistle",11615,"14569_1_2020_06_11_FVA133"
2288,1,87.892,88.404,4.2667,9.8872,"eurwoo","Eurasian Woodcock","whistle",11615,"14569_1_2020_06_11_FVA133"
2289,1,90.085,95.81,2.5846,8.6974,"eurwoo","Eurasian Woodcock","whistle, whistle",11616,"14569_1_2020_06_11_FVA133"
2290,1,120.613,129.487,4.0205,12.759,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle",11616,"14569_1_2020_06_11_FVA133"
2291,1,136.39,136.902,5.4154,7.9179,"eurwoo","Eurasian Woodcock","whistle",11616,"14569_1_2020_06_11_FVA133"
2292,1,1.732,12.932,4.0205,9.3949,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle, whistle",11612,"14569_1_2020_06_11_FVA133"
2293,1,318.601,335.674,4.0872,10.0402,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle, whistle, whistle, whistle",11612,"14569_1_2020_06_11_FVA133"
2294,1,426.824,436.289,2.6952,23.397,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle, whistle",11612,"14569_1_2020_06_11_FVA133"
2295,1,73.833,88.618,3.4051,14.4821,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle, whistle, whistle",11627,"14569_1_2020_06_11_FVA133"
2296,1,116.131,120.078,4.3897,12.2667,"eurwoo","Eurasian Woodcock","whistle, whistle",11627,"14569_1_2020_06_11_FVA133"
2297,1,248.802,252.81,4.0615,13.9897,"eurwoo","Eurasian Woodcock","whistle, whistle",11627,"14569_1_2020_06_11_FVA133"
2298,1,310.745,324.95,3.8974,15.1795,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle, whistle, whistle",11627,"14569_1_2020_06_11_FVA133"
2299,1,478.175,478.434,4.4308,8,"eurwoo","Eurasian Woodcock","whistle",11627,"14569_1_2020_06_11_FVA133"
2300,1,96.33,105.379,3.8154,13.1692,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle",11628,"14569_1_2020_06_11_FVA133"
2301,1,144.568,148.65,3.9795,9.0667,"eurwoo","Eurasian Woodcock","whistle, whistle",11628,"14569_1_2020_06_11_FVA133"
2302,1,295.263,295.631,4.2256,8.9026,"eurwoo","Eurasian Woodcock","whistle",11628,"14569_1_2020_06_11_FVA133"
2303,1,303.082,303.358,3.9385,9.3949,"eurwoo","Eurasian Woodcock","whistle",11628,"14569_1_2020_06_11_FVA133"
2304,1,485.971,495.682,4.2256,19.0001,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle",11628,"14569_1_2020_06_11_FVA133"
2305,1,492.071,502.057,3.8564,14.6051,"eurwoo","Eurasian Woodcock","whistle, whistle, whistle, whistle",11629,"14569_1_2020_06_11_FVA133"
2306,1,583.853,584.309,4.6359,7.7538,"eurwoo","Eurasian Woodcock","whistle",11629,"14569_1_2020_06_11_FVA133"
2307,1,592.233,596.08,4.5538,9.8462,"eurwoo","Eurasian Woodcock","whistle, whistle",11629,"14569_1_2020_06_11_FVA133"
