recording_id,mic,species,country,date,year,duration,recording_url
964866,Audiomoth 1.2.0,Eurasian Whimbrel,Germany,2024-05-03,,0:04,https://xeno-canto.org/964866
934169,AudioMoth 1.2.0,Eurasian Whimbrel,Germany,2024-04-06,,0:29,https://xeno-canto.org/934169
1063908,Audiomoth,Eurasian Curlew,United Kingdom,2025-12-08,,0:18,https://xeno-canto.org/1063908
1062308,Audiomoth,Eurasian Curlew,United Kingdom,2025-11-29,,0:18,https://xeno-canto.org/1062308
1034287,Audiomoth,Eurasian Curlew,United Kingdom,2025-08-25,,0:31,https://xeno-canto.org/1034287
834336,AudioMoth 1.2.0,Eurasian Curlew,Germany,2023-09-15,,0:14,https://xeno-canto.org/834336
1062221,Audiomoth,Eurasian Curlew,United Kingdom,2025-11-29,,0:11,https://xeno-canto.org/1062221
1034791,Audiomoth,Eurasian Curlew,United Kingdom,2025-08-24,,0:06,https://xeno-canto.org/1034791
981777,AUDIOMOTH,Eurasian Curlew,France,2025-03-18,,0:32,https://xeno-canto.org/981777
981237,Audiomoth,Eurasian Curlew,United Kingdom,2025-03-07,,0:09,https://xeno-canto.org/981237
979411,Audiomoth,Eurasian Curlew,United Kingdom,2025-02-28,,0:04,https://xeno-canto.org/979411
957884,Audiomoth 1.2.0,Eurasian Curlew,Germany,2024-08-08,,0:51,https://xeno-canto.org/957884
950734,AudioMoth 1.2.0,Eurasian Curlew,Germany,2024-10-05,,0:24,https://xeno-canto.org/950734
1030165,Audiomoth,Eurasian Curlew,United Kingdom,2025-08-17,,0:24,https://xeno-canto.org/1030165
1024797,Audiomoth 1.2.0,Eurasian Curlew,Germany,2025-04-12,,1:06,https://xeno-canto.org/1024797
982711,Audiomoth,Eurasian Curlew,United Kingdom,2025-03-11,,0:05,https://xeno-canto.org/982711
982115,Audiomoth,Eurasian Curlew,United Kingdom,2025-03-14,,0:05,https://xeno-canto.org/982115
950437,Audiomoth,Eurasian Curlew,United Kingdom,2024-11-13,,0:09,https://xeno-canto.org/950437
919958,Audiomoth,Eurasian Curlew,United Kingdom,2024-07-09,,12:25:39,https://xeno-canto.org/919958
842878,AudioMoth 1.2.0,Dunlin,Germany,2023-09-30,,0:03,https://xeno-canto.org/842878
956239,AudioMoth 1.2.0,Dunlin,Germany,2024-10-11,,0:03,https://xeno-canto.org/956239
956238,AudioMoth 1.2.0,Dunlin,Germany,2024-09-27,,0:31,https://xeno-canto.org/956238
956237,AudioMoth 1.2.0,Dunlin,Germany,2024-09-23,,0:18,https://xeno-canto.org/956237
941777,AudioMoth 1.2.0,Dunlin,Germany,2024-08-14,,0:02,https://xeno-canto.org/941777
939658,AudioMoth 1.2.0,Dunlin,Germany,2024-10-05,,0:18,https://xeno-canto.org/939658
1062338,Audiomoth,Dunlin,United Kingdom,2025-11-30,,0:04,https://xeno-canto.org/1062338
1030155,Audiomoth,Dunlin,United Kingdom,2025-08-17,,0:05,https://xeno-canto.org/1030155
956240,AudioMoth 1.2.0,Dunlin,Germany,2024-10-12,,0:04,https://xeno-canto.org/956240
946774,Audiomoth,Dunlin,United Kingdom,2024-11-03,,0:32,https://xeno-canto.org/946774
946322,Audiomoth,Dunlin,United Kingdom,2024-11-05,,0:03,https://xeno-canto.org/946322
832549,AudioMoth 1.2.0,Dunlin,Germany,2023-09-10,,0:05,https://xeno-canto.org/832549
957030,Audiomoth 1.2.0,Common Snipe,Germany,2024-03-30,,0:11,https://xeno-canto.org/957030
928594,AudioMoth 1.2.0,Common Snipe,Germany,2024-04-09,,0:14,https://xeno-canto.org/928594
1024658,Audiomoth 1.2.0,Common Snipe,Germany,2025-04-13,,0:11,https://xeno-canto.org/1024658
1024657,Audiomoth 1.2.0,Common Snipe,Germany,2025-04-11,,0:08,https://xeno-canto.org/1024657
972986,Audiomoth,Common Snipe,United Kingdom,2024-02-07,,0:30,https://xeno-canto.org/972986
959577,Audiomoth 1.2.0,Common Snipe,Germany,2024-04-10,,0:19,https://xeno-canto.org/959577
957034,Audiomoth 1.2.0,Common Snipe,Germany,2024-10-28,,0:06,https://xeno-canto.org/957034
957033,Audiomoth 1.2.0,Common Snipe,Germany,2024-09-12,,0:07,https://xeno-canto.org/957033
957029,Audiomoth 1.2.0,Common Snipe,Germany,2024-03-30,,0:09,https://xeno-canto.org/957029
957028,Audiomoth 1.2.0,Common Snipe,Germany,2024-03-23,,0:08,https://xeno-canto.org/957028
954809,Audiomoth,Common Snipe,United Kingdom,2024-12-13,,0:18,https://xeno-canto.org/954809
941746,AudioMoth 1.2.0,Common Snipe,Germany,2024-08-14,,0:04,https://xeno-canto.org/941746
976106,Audiomoth,Common Snipe,United Kingdom,2025-02-12,,0:07,https://xeno-canto.org/976106
972984,Audiomoth,Common Snipe,United Kingdom,2024-02-07,,0:07,https://xeno-canto.org/972984
960219,Audiomoth,Common Snipe,United Kingdom,2025-01-08,,0:08,https://xeno-canto.org/960219
950473,Audiomoth,Common Snipe,United Kingdom,2024-11-20,,0:10,https://xeno-canto.org/950473
928595,AudioMoth 1.2.0,Common Snipe,Germany,2024-04-10,,0:05,https://xeno-canto.org/928595
1158048,Audiomoth 1.2.0,Common Sandpiper,Germany,2025-09-11,,0:02,https://xeno-canto.org/1158048
996514,Audiomoth,Common Sandpiper,France,2025-04-27,,0:30,https://xeno-canto.org/996514
996513,Audiomoth,Common Sandpiper,France,2025-04-27,,0:06,https://xeno-canto.org/996513
996490,Audiomoth,Common Sandpiper,France,2025-05-08,,4:05,https://xeno-canto.org/996490
989220,Audiomoth,Common Sandpiper,France,2025-04-09,,0:11,https://xeno-canto.org/989220
989218,Audiomoth,Common Sandpiper,France,2025-04-08,,0:29,https://xeno-canto.org/989218
989217,Audiomoth,Common Sandpiper,France,2025-04-10,,2:05,https://xeno-canto.org/989217
989215,Audiomoth,Common Sandpiper,France,2025-04-10,,0:21,https://xeno-canto.org/989215
989206,Audiomoth,Common Sandpiper,France,2025-04-07,,0:05,https://xeno-canto.org/989206
989205,Audiomoth,Common Sandpiper,France,2025-04-11,,0:15,https://xeno-canto.org/989205
941784,AudioMoth 1.2.0,Common Sandpiper,Germany,2024-07-07,,2:56,https://xeno-canto.org/941784
