selec,start,start,start,start,start,start,start,start,start
5058,0,3.5,7.5,11.2,14.7,18.2,22.15,30.2,35
5082,0,3,6,9,12,15,18,,
5086,14.9,18.11,21.3,22.2,,,,,
5095,10,18.2,21.7,25.1,,,,,
5239,0,3.6,7.15,10.6,14.1,17.6,21,24.55,25.3
5564,3,7,10.5,13.9,20.6,24,,,
5109,0,2,4,11.1,14.6,18.1,22,,
5111,0,12.5,16.1,20,,,,,
5107,11.62,21.4,25,27.5,30,,,,
5055,5.7,9,12.43,15.8,19.3,,,,
5104,1.4,4.84,8.3,11.6,14.93,18.15,,,
5059,4.11,10.8,14.4,17.8,,,,,
5103,0,3.6,7.1,10.7,19,,,,
5114,0,2.5,6,17.3,18.9,,,,
5100,5.65,9,12.5,16,,,,,
5094,0,6.5,10,13.5,17,,,,
5089,0,3.5,7,10.4,13.7,16,17.5,,
5057,5,8.5,12,15.5,,,,,
5101,0,3.5,7,11,15,,,,
5228,2.2,6,10.2,14.2,,,,,
5087,0,1,4.5,7.9,11.3,14.8,,,
5223,0,3.7,11.5,15.5,,,,,
5083,3.2,9.6,15.8,16.5,,,,,
5056,2.5,6.2,9.8,13.4,,,,,
5096,0.7,4.5,8.2,11.6,15,,,,
5102,0,3,6,9,12,,,,
5113,0,3,6,9,12,,,,
5485,0,3,6,9,12,15,,,
5098,0,3.4,10,14,,,,,
5093,1.55,4.7,11.3,14,15.2,,,,
5099,0,3,6,9,12,15,,,
5085,0,3.5,7,10.6,14,,,,
5091,0,2,4,12.8,14.8,,,,
5231,9.15,12.5,13.5,14.5,,,,,
5112,0,3,6,9,,,,,
5081,2.4,3.6,6.8,10,12,13.5,,,
5235,3.01,6.21,9.48,12.7,,,,,
5090,0,1.5,5,8.5,12.5,13.5,,,
5237,3.1,6.4,9.75,13.5,,,,,
5110,0.4,6.6,10,13,,,,,
5234,0.8,4.1,7.55,11.8,,,,,
5233,1.76,5,8.4,11.8,,,,,
5084,0,3,6,9,12,,,,
5232,8.3,11.6,,,,,,,
5236,12,,,,,,,,
1116,0,3,6,,,,,,
5240,0,3.6,7,11,,,,,
5108,0,3,6,9,,,,,
5088,0,3,6,9,,,,,
5562,0,3,6,,,,,,
5556,0,3,6,,,,,,
5054,0,3,6,9,,,,,
5227,0,3,6,9,,,,,
5229,0,3,6,,,,,,
5080,0,3,6,9,,,,,
5565,0,3,6,,,,,,
5563,0,3,,,,,,,
5106,0,3,6,9,,,,,
5555,0,3,6,,,,,,
5915,0,,,,,,,,
5561,0,,,,,,,,
5558,0,3,,,,,,,
5486,0,3,,,,,,,
5241,0,3,,,,,,,
5560,0,3,,,,,,,
