selec,start,start,start,start,start,start,start,start,start
5058,3,6,9,12,17,20,24,27,33
5082,0,3,6,9,12,15,18,22,
5086,2,5,8,11,14,17,18.5,,
5095,0,4,7,12,16,19,23,26,29
5239,3,6,9,13,16,19,22,,
5564,2,5,8,11,15,18,21,25,
5109,7,10,13,16,19,,,,
5111,2,5,8,11,15,18,21.5,,
5107,0,3,6,9,12,15,19,22,
5055,0,5,8,11,15,17,21,,
5104,0,3,6,9,14,17,20,,
5059,0,3,6,9,12,16,19,,
5103,2,5,10,13,16,,,,
5114,5,9,12,14.5,,,,,
5100,0,3,6,10,14,18,,,
5094,2,5,8,11,16,,,,
5089,3,6,9,12,,,,,
5057,0,3,6,11,15,17,,,
5101,2,5,8,14,17,,,,
5228,0,4,9,13,17,,,,
5087,4,7,10,13,16,,,,
5223,3,6,9,14,16.9,,,,
5083,2,5,8,11,13,,,,
5056,0,5,8,12,16,,,,
5096,0,3,6,9,12,16,,,
5102,0,2,5,8,11,14,,,
5113,0,3,6,9,12,,,,
5485,0,3,6,12,15,,,,
5098,2,5,9,13,15,,,,
5093,1,4,7,10,,,,,
