selec,deploy.id,sound.files,start,end,bottom.freq,top.freq,species.code,common.name,annotation,recording.id,duration,date
5058,43791_1_2020_06_12_FVA140,20200627_202514.WAV,376.76025,415.3878,2.4207,18.572,eurwoo,Eurasian Woodcock,woodcock,15606,38.62755000000004,27/06/2020
5107,45967_1_2021_05_19_FVA065,20210519_191015.WAV,240.02644,273.40894,1.6508,16.1121,eurwoo,Eurasian Woodcock,woodcock,19666,33.382499999999965,19/05/2021
5095,43791_1_2020_06_12_FVA140,20200629_201512.WAV,123.44764,156.17206,1.1976,15.4517,eurwoo,Eurasian Woodcock,woodcock,15645,32.72441999999998,29/06/2020
5239,43791_1_2020_06_12_FVA140,20200630_202514.WAV,548.59827,576.9891,3.2112,23.3215,eurwoo,Eurasian Woodcock,woodcock,15666,28.39083000000005,30/06/2020
5564,45967_1_2021_05_28_FVA065,20210528_194030.WAV,163.08673,191.44484,2.5382,19.7729,eurwoo,Eurasian Woodcock,woodcock,20631,28.35811000000001,28/05/2021
5109,45967_1_2021_05_19_FVA065,20210519_193025.WAV,26.55852,52.336716,1.7829,13.4048,eurwoo,Eurasian Woodcock,woodcock,19668,25.778196,19/05/2021
5082,43791_1_2020_06_12_FVA140,20200628_192502.WAV,266.6395,292.12454,2.6091,18.4971,eurwoo,Eurasian Woodcock,woodcock,15620,25.485040000000026,28/06/2020
5086,43791_1_2020_06_12_FVA140,20200628_193504.WAV,372.9794,398.3171,1.6971,15.9172,eurwoo,Eurasian Woodcock,woodcock,15621,25.337699999999984,28/06/2020
5111,45967_1_2021_05_19_FVA065,20210519_194030.WAV,107.17272,131.85258,2.9976,22.5764,eurwoo,Eurasian Woodcock,woodcock,19669,24.67985999999999,19/05/2021
5055,43791_1_2020_06_12_FVA140,20200627_200510.WAV,328.48264,352.7664,0.8914,17.3668,eurwoo,Eurasian Woodcock,woodcock,15604,24.283759999999972,27/06/2020
5104,43791_1_2020_06_12_FVA140,20200630_022502.WAV,297.18564,320.47287,1.2874,16.6487,eurwoo,Eurasian Woodcock,woodcock,15649,23.287230000000022,30/06/2020
5059,43791_1_2020_06_12_FVA140,20200627_203516.WAV,12.707948,35.3512,3.0023,19.2414,eurwoo,Eurasian Woodcock,woodcock,15607,22.643251999999997,27/06/2020
5103,43791_1_2020_06_12_FVA140,20200630_022502.WAV,81.31696,103.8678,2.0189,16.8535,eurwoo,Eurasian Woodcock,woodcock,15649,22.550840000000008,30/06/2020
5114,45967_1_2021_05_19_FVA065,20210519_200040.WAV,29.920746,51.941982,3.3606,22.906,eurwoo,Eurasian Woodcock,"cwoodcock, whistle, croak",19671,22.021236000000002,19/05/2021
5100,43791_1_2020_06_12_FVA140,20200629_202514.WAV,543.036,564.71576,2.3115,18.3458,eurwoo,Eurasian Woodcock,woodcock,15646,21.67976,29/06/2020
5094,43791_1_2020_06_12_FVA140,20200629_201512.WAV,101.783516,122.88202,1.3144,14.3125,eurwoo,Eurasian Woodcock,woodcock,15645,21.09850399999999,29/06/2020
5089,43791_1_2020_06_12_FVA140,20200628_195508.WAV,459.55115,480.40698,1.3167,15.2442,eurwoo,Eurasian Woodcock,woodcock,15623,20.85582999999997,28/06/2020
5057,43791_1_2020_06_12_FVA140,20200627_201512.WAV,512.1687,532.42615,2.5643,19.4358,eurwoo,Eurasian Woodcock,woodcock,15605,20.257450000000063,27/06/2020
5101,43791_1_2020_06_12_FVA140,20200630_021500.WAV,380.31302,400.53128,1.4922,17.1754,eurwoo,Eurasian Woodcock,woodcock,15648,20.218259999999987,30/06/2020
5228,43791_1_2020_06_12_FVA140,20200629_021500.WAV,307.23987,327.37155,2.5456,24,eurwoo,Eurasian Woodcock,woodcock,15628,20.131680000000017,29/06/2020
5087,43791_1_2020_06_12_FVA140,20200628_194506.WAV,171.00496,191.11198,0.907,14.8054,eurwoo,Eurasian Woodcock,woodcock,15622,20.107019999999977,28/06/2020
5223,43791_1_2020_06_12_FVA140,20200627_021500.WAV,389.33322,409.2678,1.9019,18.931,eurwoo,Eurasian Woodcock,woodcock,15588,19.93458000000004,27/06/2020
5083,43791_1_2020_06_12_FVA140,20200628_192502.WAV,318.62592,338.2163,3.165,18.6726,eurwoo,Eurasian Woodcock,woodcock,15620,19.590379999999982,28/06/2020
5056,43791_1_2020_06_12_FVA140,20200627_201512.WAV,184.65926,204.0995,1.5848,15.7159,eurwoo,Eurasian Woodcock,woodcock,15605,19.440240000000017,27/06/2020
5096,43791_1_2020_06_12_FVA140,20200629_201512.WAV,169.89554,189.27834,1.5657,16.1877,eurwoo,Eurasian Woodcock,woodcock,15645,19.382799999999975,29/06/2020
5102,43791_1_2020_06_12_FVA140,20200630_021500.WAV,516.0732,535.039,3.2371,24,eurwoo,Eurasian Woodcock,woodcock,15648,18.965799999999945,30/06/2020
5113,45967_1_2021_05_19_FVA065,20210519_195035.WAV,525.5656,544.3878,2.3365,14.3622,eurwoo,Eurasian Woodcock,woodcock,19670,18.822199999999953,19/05/2021
5485,14569_1_2020_06_11_FVA133,20200611_194506.WAV,96.48381,115.18898,2.5423,15.4188,eurwoo,Eurasian Woodcock,woodcock,11602,18.705169999999995,11/06/2020
5098,43791_1_2020_06_12_FVA140,20200629_202514.WAV,227.03119,245.5519,1.6678,14.8346,eurwoo,Eurasian Woodcock,woodcock,15646,18.52070999999998,29/06/2020
5093,43791_1_2020_06_12_FVA140,20200629_201512.WAV,5.75984,24.097012,1.9278,15.4783,eurwoo,Eurasian Woodcock,woodcock,15645,18.337172,29/06/2020
5099,43791_1_2020_06_12_FVA140,20200629_202514.WAV,513.32416,531.4828,1.2582,16.3854,eurwoo,Eurasian Woodcock,woodcock,15646,18.15863999999999,29/06/2020
5085,43791_1_2020_06_12_FVA140,20200628_193504.WAV,114.000046,132.04106,1.4922,16.2976,eurwoo,Eurasian Woodcock,woodcock,15621,18.04101399999999,28/06/2020
5091,43791_1_2020_06_12_FVA140,20200628_200510.WAV,39.440228,57.440617,1.1704,14.9224,eurwoo,Eurasian Woodcock,woodcock,15624,18.000389000000006,28/06/2020
5231,43791_1_2020_06_12_FVA140,20200630_195508.WAV,416.6354,434.34705,2.6641,17.7327,eurwoo,Eurasian Woodcock,woodcock,15663,17.71165000000002,30/06/2020
5112,45967_1_2021_05_19_FVA065,20210519_195035.WAV,87.550064,104.61605,2.7169,17.2296,eurwoo,Eurasian Woodcock,woodcock,19670,17.065985999999995,19/05/2021
5081,43791_1_2020_06_12_FVA140,20200628_192502.WAV,164.66968,181.65195,1.5508,15.888,eurwoo,Eurasian Woodcock,woodcock,15620,16.98227,28/06/2020
5235,43791_1_2020_06_12_FVA140,20200630_201512.WAV,179.16705,196.09892,1.5508,16.6487,eurwoo,Eurasian Woodcock,woodcock,15665,16.931870000000004,30/06/2020
7674,18672_1_2021_06_16_FVA023,20210616_201045.WAV,444.95615,461.75894,0.9648,12.9447,eurwoo,Eurasian Woodcock,"cwoodcock, chase",39449,16.802790000000016,16/06/2021
5090,43791_1_2020_06_12_FVA140,20200628_195508.WAV,503.31622,520.0341,0.7607,16.3854,eurwoo,Eurasian Woodcock,woodcock,15623,16.71787999999998,28/06/2020
5237,43791_1_2020_06_12_FVA140,20200630_202514.WAV,374.9906,391.58997,2.3008,24,eurwoo,Eurasian Woodcock,woodcock,15666,16.59937000000002,30/06/2020
5110,45967_1_2021_05_19_FVA065,20210519_193025.WAV,152.78996,169.0604,1.1226,13.6029,eurwoo,Eurasian Woodcock,woodcock,19668,16.27043999999998,19/05/2021
5234,43791_1_2020_06_12_FVA140,20200630_200510.WAV,560.79395,576.7875,1.6971,16.2098,eurwoo,Eurasian Woodcock,woodcock,15664,15.993550000000027,30/06/2020
5233,43791_1_2020_06_12_FVA140,20200630_200510.WAV,177.87775,193.8576,2.8674,15.6831,eurwoo,Eurasian Woodcock,woodcock,15664,15.979849999999999,30/06/2020
5084,43791_1_2020_06_12_FVA140,20200628_192502.WAV,437.71213,453.66263,2.6676,17.8826,eurwoo,Eurasian Woodcock,woodcock,15620,15.950499999999977,28/06/2020
5232,43791_1_2020_06_12_FVA140,20200630_195508.WAV,445.2158,460.71948,1.9196,22.6506,eurwoo,Eurasian Woodcock,woodcock,15663,15.503679999999974,30/06/2020
5236,43791_1_2020_06_12_FVA140,20200630_201512.WAV,224.47269,239.89796,2.0482,16.5609,eurwoo,Eurasian Woodcock,woodcock,15665,15.425270000000012,30/06/2020
1116,49006_1_2020_06_18_FVA106,20200619_194506.WAV,141.12888,156.27803,0,13.077758,eurwoo,Eurasian Woodcock,"ccroak, whistle",19145,15.149149999999992,19/06/2020
5240,43791_1_2020_06_12_FVA140,20200630_202514.WAV,582.5421,597.54315,2.8388,23.2388,eurwoo,Eurasian Woodcock,woodcock,15666,15.001049999999964,30/06/2020
5108,45967_1_2021_05_19_FVA065,20210519_191015.WAV,481.4321,496.41608,0.7004,13.6029,eurwoo,Eurasian Woodcock,woodcock,19666,14.983980000000031,19/05/2021
5088,43791_1_2020_06_12_FVA140,20200628_195508.WAV,5.285884,19.965199,1.1411,12.9035,eurwoo,Eurasian Woodcock,woodcock,15623,14.679314999999999,28/06/2020
1141,49006_1_2020_06_18_FVA106,20200619_200510.WAV,95.343216,109.28505,1.189015,11.55412,eurwoo,Eurasian Woodcock,woodcock,19147,13.941834,19/06/2020
5562,45967_1_2021_05_28_FVA065,20210528_192020.WAV,246.55748,260.22556,1.5518,20.4092,eurwoo,Eurasian Woodcock,woodcock,20629,13.668079999999975,28/05/2021
11139,24606_3_2021_05_10_FVA139,20210520_200040.WAV,66.171906,79.776024,1.3198,9.8987,eurwoo,Eurasian Woodcock,"cwoodcock, chase",26221,13.604118,20/05/2021
5556,45520_1_2021_06_11_FVA070,20210611_193025.WAV,465.7274,479.0327,2.2781,15.914,eurwoo,Eurasian Woodcock,woodcock,20621,13.305299999999988,11/06/2021
5054,43791_1_2020_06_12_FVA140,20200627_195508.WAV,462.88312,476.16693,0,19.2817,eurwoo,Eurasian Woodcock,woodcock,15603,13.28380999999996,27/06/2020
5227,43791_1_2020_06_12_FVA140,20200629_021500.WAV,286.8292,299.59082,1.5508,16.8828,eurwoo,Eurasian Woodcock,woodcock,15628,12.761619999999994,29/06/2020
5229,43791_1_2020_06_12_FVA140,20200629_024506.WAV,129.81139,142.33336,2.4578,19.2528,eurwoo,Eurasian Woodcock,woodcock,15631,12.52197000000001,29/06/2020
5080,43791_1_2020_06_12_FVA140,20200628_191500.WAV,195.60313,207.9876,2.3193,14.2836,eurwoo,Eurasian Woodcock,woodcock,15619,12.384469999999993,28/06/2020
5565,45967_1_2021_05_28_FVA065,20210528_195035.WAV,5.342062,17.609516,1.2216,16.0131,eurwoo,Eurasian Woodcock,woodcock,20632,12.267453999999999,28/05/2021
5563,45967_1_2021_05_28_FVA065,20210528_193025.WAV,514.1146,526.21686,2.1131,14.6264,eurwoo,Eurasian Woodcock,woodcock,20630,12.102260000000001,28/05/2021
5106,45967_1_2021_05_19_FVA065,20210519_190010.WAV,542.69446,554.78845,1.0235,14.9565,eurwoo,Eurasian Woodcock,woodcock,19665,12.093989999999962,19/05/2021
1521,14569_1_2020_06_11_FVA133,20200623_193504.WAV,162.66385,174.5971,2.272425,9.049834,eurwoo,Eurasian Woodcock,"cwoodcock, chase",11709,11.933250000000015,23/06/2020
5555,45520_1_2021_06_11_FVA070,20210611_193025.WAV,380.64395,391.5234,1.981,11.6549,eurwoo,Eurasian Woodcock,woodcock,20621,10.879449999999963,11/06/2021
7953,45499_1_2021_06_03_FVA125,20210603_200040.WAV,125.978294,136.83234,1.819742,14.969957,eurwoo,Eurasian Woodcock,"cchase, woodcock",27074,10.854045999999983,03/06/2021
5557,45520_1_2021_06_11_FVA070,20210611_193025.WAV,482.42523,493.2204,2.3772,13.3717,eurwoo,Eurasian Woodcock,woodcock,20621,10.795169999999985,11/06/2021
1135,49006_1_2020_06_18_FVA106,20200619_195508.WAV,559.9901,570.46045,0,22.27331,eurwoo,Eurasian Woodcock,"ccroak, whistle",19146,10.470350000000053,19/06/2020
1508,14569_1_2020_06_11_FVA133,20200613_200510.WAV,420.00555,430.10458,2.041042,21.501324,eurwoo,Eurasian Woodcock,"cwoodcock, chase",11622,10.09902999999997,13/06/2020
518,14569_1_2020_06_11_FVA133,20200623_202514.WAV,555.49445,565.31494,2.261712,18.61874,eurwoo,Eurasian Woodcock,chase,11714,9.82049,23/06/2020
522,14569_1_2020_06_11_FVA133,20200623_202514.WAV,401.26028,410.39395,0.040388,24,eurwoo,Eurasian Woodcock,woodcock,11714,9.133669999999995,23/06/2020
5915,49334_1_2021_05_17_FVA015,20210603_200040.WAV,171.4871,180.15025,2.0905,11.8191,eurwoo,Eurasian Woodcock,"cwoodcock, chase",27297,8.663150000000002,03/06/2021
5561,45520_1_2021_06_11_FVA070,20210611_200040.WAV,30.795023,39.26598,0.7264,15.848,eurwoo,Eurasian Woodcock,woodcock,20624,8.470956999999999,11/06/2021
5558,45520_1_2021_06_11_FVA070,20210611_193025.WAV,591.97656,600,0.2971,16.6734,eurwoo,Eurasian Woodcock,woodcock,20621,8.02344,11/06/2021
5486,14569_1_2020_06_11_FVA133,20200611_194506.WAV,370.0195,377.87573,3.4667,14.5273,eurwoo,Eurasian Woodcock,woodcock,11602,7.856229999999982,11/06/2020
1578,14569_1_2020_06_11_FVA133,20200624_202514.WAV,548.7007,556.2378,2.817447,7.831987,eurwoo,Eurasian Woodcock,woodcock,11723,7.5371000000000095,24/06/2020
5241,43791_1_2020_06_12_FVA140,20200630_203516.WAV,291.5971,298.8969,3.7452,14.1031,eurwoo,Eurasian Woodcock,woodcock,15667,7.299800000000005,30/06/2020
5560,45520_1_2021_06_11_FVA070,20210611_194030.WAV,259.27823,266.17505,2.014,13.966,eurwoo,Eurasian Woodcock,woodcock,20622,6.896819999999991,11/06/2021
1549,14569_1_2020_06_11_FVA133,20200624_201512.WAV,288.94916,295.725,1.731826,8.374798,eurwoo,Eurasian Woodcock,chase,11722,6.7758400000000165,24/06/2020
1504,14569_1_2020_06_11_FVA133,20200612_201512.WAV,484.0879,490.83127,2.2564,8.5744,eurwoo,Eurasian Woodcock,"cwoodcock, chase",11614,6.743370000000027,12/06/2020
5224,43791_1_2020_06_12_FVA140,20200628_034518.WAV,252.10979,258.71033,6.7076,24,eurwoo,Eurasian Woodcock,woodcock,15617,6.600539999999995,28/06/2020
1117,49006_1_2020_06_18_FVA106,20200619_194506.WAV,145.32632,151.61183,0,12.990958,eurwoo,Eurasian Woodcock,"ccroak, whistle",19145,6.285509999999988,19/06/2020
5225,43791_1_2020_06_12_FVA140,20200628_034518.WAV,347.84348,353.95486,6.4678,13.8997,eurwoo,Eurasian Woodcock,woodcock,15617,6.111379999999997,28/06/2020
7904,18800_2_2021_05_20_FVA121,20210520_195035.WAV,516.24426,521.9973,2.666667,10.427861,eurwoo,Eurasian Woodcock,"cwoodcock, chase",27047,5.753039999999942,20/05/2021
1604,14569_1_2020_06_11_FVA133,20200625_195508.WAV,13.875956,19.259619,2.031592,8.18345,eurwoo,Eurasian Woodcock,chase,11729,5.383663,25/06/2020
1603,14569_1_2020_06_11_FVA133,20200625_195508.WAV,6.9421687,12.121624,2.639023,15.847424,eurwoo,Eurasian Woodcock,chase,11729,5.179455300000001,25/06/2020
1548,14569_1_2020_06_11_FVA133,20200624_201512.WAV,282.955,288.07877,2.739903,8.581583,eurwoo,Eurasian Woodcock,chase,11722,5.123770000000036,24/06/2020
4892,14569_1_2020_06_11_FVA133,20200616_194506.WAV,16.038513,21.031635,1.0565,9.2116,eurwoo,Eurasian Woodcock,woodcock,11647,4.993122000000003,16/06/2020
5079,43791_1_2020_06_12_FVA140,20200628_023504.WAV,552.3503,557.2967,1.948,13.867,eurwoo,Eurasian Woodcock,woodcock,15610,4.9464,28/06/2020
5092,43791_1_2020_06_12_FVA140,20200629_025508.WAV,584.17346,588.9797,3.5404,13.9861,eurwoo,Eurasian Woodcock,woodcock,15632,4.8062400000000025,29/06/2020
11153,24606_3_2021_05_10_FVA139,20210611_200040.WAV,232.5841,237.35895,0.1208,2.094,eurwoo,Eurasian Woodcock,croak,26485,4.7748499999999865,11/06/2021
11233,24608_1_2021_05_11_FVA112,20210519_202050.WAV,483.6781,488.37143,0.0403,1.651,eurwoo,Eurasian Woodcock,croak,25790,4.693330000000003,19/05/2021
4886,14569_1_2020_06_11_FVA133,20200616_193504.WAV,414.37225,419.06274,0.9905,10.6974,eurwoo,Eurasian Woodcock,woodcock,11646,4.690490000000011,16/06/2020
5226,43791_1_2020_06_12_FVA140,20200629_021500.WAV,176.89421,181.26404,1.8434,8.8949,eurwoo,Eurasian Woodcock,woodcock,15628,4.369830000000007,29/06/2020
6866,25175_5_2021_05_10_FVA008,20210514_195035.WAV,376.2074,380.39075,2.4313,6.9812,eurwoo,Eurasian Woodcock,"cwoodcock, chase",28828,4.1833500000000186,14/05/2021
8170,14569_1_2020_06_11_FVA133,20200617_192502.WAV,265.6342,269.7957,2.628019,8.270531,eurwoo,Eurasian Woodcock,woodcock,11654,4.1614999999999895,17/06/2020
709,14569_1_2020_06_11_FVA133,20200625_200510.WAV,327.71414,331.87256,3.906103,6.610329,eurwoo,Eurasian Woodcock,chase,11730,4.158420000000035,25/06/2020
