selec,deploy.id,sound.files,view,channel,start,end,bottom.freq,top.freq,species.code,common.name,annotation,recording.id,duration
37,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,270.100235,273.100235,3.9795,8.9436,eurwoo,Eurasian Woodcock,whistle,11608,3.0
34,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,226.24184,229.24184,4.2256,8.0,eurwoo,Eurasian Woodcock,whistle,11608,3.0
33,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,221.463295,224.463295,3.7333,9.2718,eurwoo,Eurasian Woodcock,whistle,11608,3.0
32,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,217.09064,220.09064,6.3179,8.9436,eurwoo,Eurasian Woodcock,whistle,11608,3.0
31,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,218.16947,221.16947,4.3077,8.8205,eurwoo,Eurasian Woodcock,whistle,11608,3.0
35,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,230.766225,233.766225,6.5641,10.7487,eurwoo,Eurasian Woodcock,whistle,11608,3.0
36,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,266.608285,269.608285,4.1026,9.4769,eurwoo,Eurasian Woodcock,whistle,11608,3.0
38,14569_1_2020_06_11_FVA133,20200612_191500.WAV,Spectrogram 1,1,278.57517,281.57517,4.6769,9.3128,eurwoo,Eurasian Woodcock,whistle,11608,3.0
52,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,252.803875,255.803875,6.5231,10.3795,eurwoo,Eurasian Woodcock,whistle,11610,3.0
53,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,254.57412,257.57412,5.8667,11.4051,eurwoo,Eurasian Woodcock,whistle,11610,3.0
59,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,550.05427,553.05427,3.9385,11.4051,eurwoo,Eurasian Woodcock,whistle,11610,3.0
58,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,546.441485,549.441485,3.8974,10.0923,eurwoo,Eurasian Woodcock,whistle,11610,3.0
54,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,256.25095,259.25095,6.0718,9.3949,eurwoo,Eurasian Woodcock,whistle,11610,3.0
55,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,383.676975,386.676975,4.3487,8.6564,eurwoo,Eurasian Woodcock,whistle,11610,3.0
57,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,543.106715,546.106715,4.6359,9.8051,eurwoo,Eurasian Woodcock,whistle,11610,3.0
46,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,169.422895,172.422895,5.2513,8.2872,eurwoo,Eurasian Woodcock,whistle,11610,3.0
47,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,172.593635,175.593635,4.5538,9.559,eurwoo,Eurasian Woodcock,whistle,11610,3.0
48,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,175.75534,178.75534,4.5538,8.7385,eurwoo,Eurasian Woodcock,whistle,11610,3.0
60,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,557.48535,560.48535,4.0615,8.6564,eurwoo,Eurasian Woodcock,whistle,11610,3.0
49,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,246.49095,249.49095,6.441,8.6154,eurwoo,Eurasian Woodcock,whistle,11610,3.0
50,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,248.747045,251.747045,6.8923,10.1744,eurwoo,Eurasian Woodcock,whistle,11610,3.0
51,14569_1_2020_06_11_FVA133,20200612_193504.WAV,Spectrogram 1,1,250.980715,253.980715,6.5231,10.3795,eurwoo,Eurasian Woodcock,whistle,11610,3.0
68,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,446.43138,449.43138,4.6726,8.652,eurwoo,Eurasian Woodcock,whistle,11611,3.0
61,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,204.20219,207.20219,5.2923,9.9282,eurwoo,Eurasian Woodcock,whistle,11611,3.0
62,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,208.975605,211.975605,4.1846,9.6821,eurwoo,Eurasian Woodcock,whistle,11611,3.0
63,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,212.53268,215.53268,4.9641,8.4513,eurwoo,Eurasian Woodcock,whistle,11611,3.0
64,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,322.85849,325.85849,4.2256,7.7949,eurwoo,Eurasian Woodcock,whistle,11611,3.0
66,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,439.16749,442.16749,5.1238,8.9802,eurwoo,Eurasian Woodcock,whistle,11611,3.0
67,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,442.82798,445.82798,4.3033,8.2828,eurwoo,Eurasian Woodcock,whistle,11611,3.0
69,14569_1_2020_06_11_FVA133,20200612_194506.WAV,Spectrogram 1,1,481.61964,484.61964,4.5128,8.3282,eurwoo,Eurasian Woodcock,whistle,11611,3.0
80,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,330.61519,333.61519,4.5314,7.5227,eurwoo,Eurasian Woodcock,whistle,11612,3.0
81,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,331.602965,334.602965,4.0872,6.7823,eurwoo,Eurasian Woodcock,whistle,11612,3.0
83,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,425.48857,428.48857,4.6795,9.744,eurwoo,Eurasian Woodcock,whistle,11612,3.0
84,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,428.32393,431.32393,3.6121,13.3105,eurwoo,Eurasian Woodcock,whistle,11612,3.0
85,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,431.404145,434.404145,2.6952,23.397,eurwoo,Eurasian Woodcock,whistle,11612,3.0
86,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,434.61854,437.61854,4.176,9.8329,eurwoo,Eurasian Woodcock,whistle,11612,3.0
70,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,0.59826935,3.59826935,4.3077,9.3949,eurwoo,Eurasian Woodcock,whistle,11612,3.0
82,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,334.02173,337.02173,4.2945,6.2196,eurwoo,Eurasian Woodcock,whistle,11612,3.0
71,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,4.0860742,7.0860742,4.4718,9.3128,eurwoo,Eurasian Woodcock,whistle,11612,3.0
72,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,7.616562,10.616562,4.3897,9.0667,eurwoo,Eurasian Woodcock,whistle,11612,3.0
73,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,11.304095,14.304095,4.0205,7.7538,eurwoo,Eurasian Woodcock,whistle,11612,3.0
77,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,317.339085,320.339085,4.7091,9.9809,eurwoo,Eurasian Woodcock,whistle,11612,3.0
78,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,321.28201,324.28201,4.5314,10.0402,eurwoo,Eurasian Woodcock,whistle,11612,3.0
79,14569_1_2020_06_11_FVA133,20200612_195508.WAV,Spectrogram 1,1,325.568585,328.568585,4.3833,8.9147,eurwoo,Eurasian Woodcock,whistle,11612,3.0
88,14569_1_2020_06_11_FVA133,20200612_200510.WAV,Spectrogram 1,1,227.206695,230.206695,4.3077,10.7077,eurwoo,Eurasian Woodcock,whistle,11613,3.0
1491,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,105.252335,108.252335,4.5949,10.0103,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1502,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,463.969805,466.969805,3.9795,8.2462,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1503,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,467.84003,470.84003,4.6359,8.8615,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1505,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,509.882295,512.882295,3.4462,6.9744,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1490,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,39.9394675,42.9394675,4.6359,6.7282,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1499,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,452.50763,455.50763,0.2872,1.7231,eurwoo,Eurasian Woodcock,croak,11614,3.0
1492,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,108.984045,111.984045,4.3897,9.1487,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1501,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,457.224165,460.224165,3.9385,11.4872,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1500,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,453.19057,456.19057,3.1502,16.8938,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1498,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,449.104,452.104,3.4872,10.9128,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1494,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,359.28279,362.28279,4.2667,11.9385,eurwoo,Eurasian Woodcock,whistle,11614,3.0
1495,14569_1_2020_06_11_FVA133,20200612_201512.WAV,Spectrogram 1,1,361.46573,364.46573,3.0359,14.0718,eurwoo,Eurasian Woodcock,whistle,11614,3.0
125,14569_1_2020_06_11_FVA133,20200612_202514.WAV,Spectrogram 1,1,86.64825,89.64825,4.2667,9.8872,eurwoo,Eurasian Woodcock,whistle,11615,3.0
124,14569_1_2020_06_11_FVA133,20200612_202514.WAV,Spectrogram 1,1,32.804103,35.804103,5.4154,8.1231,eurwoo,Eurasian Woodcock,whistle,11615,3.0
136,14569_1_2020_06_11_FVA133,20200612_203516.WAV,Spectrogram 1,1,135.145595,138.145595,5.4154,7.9179,eurwoo,Eurasian Woodcock,whistle,11616,3.0
135,14569_1_2020_06_11_FVA133,20200612_203516.WAV,Spectrogram 1,1,127.669975,130.669975,4.1026,9.2308,eurwoo,Eurasian Woodcock,whistle,11616,3.0
134,14569_1_2020_06_11_FVA133,20200612_203516.WAV,Spectrogram 1,1,123.50949,126.50949,4.0205,11.8974,eurwoo,Eurasian Woodcock,whistle,11616,3.0
133,14569_1_2020_06_11_FVA133,20200612_203516.WAV,Spectrogram 1,1,119.491197,122.491197,4.1436,12.759,eurwoo,Eurasian Woodcock,whistle,11616,3.0
132,14569_1_2020_06_11_FVA133,20200612_203516.WAV,Spectrogram 1,1,93.06632,96.06632,2.5846,8.6974,eurwoo,Eurasian Woodcock,whistle,11616,3.0
131,14569_1_2020_06_11_FVA133,20200612_203516.WAV,Spectrogram 1,1,88.98705,91.98705,4.1436,8.2462,eurwoo,Eurasian Woodcock,whistle,11616,3.0
151,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,537.25745,540.25745,5.402262,10.494346,eurwoo,Eurasian Woodcock,whistle,11618,3.0
138,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,23.934075,26.934075,4.135703,9.589661,eurwoo,Eurasian Woodcock,whistle,11618,3.0
137,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,17.757169,20.757169,2.92084,10.390953,eurwoo,Eurasian Woodcock,whistle,11618,3.0
146,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,362.06877,365.06877,3.541195,11.838449,eurwoo,Eurasian Woodcock,whistle,11618,3.0
145,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,359.1913,362.1913,2.403877,13.673667,eurwoo,Eurasian Woodcock,whistle,11618,3.0
139,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,20.8520245,23.8520245,3.127625,9.74475,eurwoo,Eurasian Woodcock,whistle,11618,3.0
153,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,544.8596,547.8596,4.006462,11.631664,eurwoo,Eurasian Woodcock,whistle,11618,3.0
152,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,541.6387,544.6387,4.109855,19.065277,eurwoo,Eurasian Woodcock,whistle,11618,3.0
150,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,533.953,536.953,5.970921,10.442649,eurwoo,Eurasian Woodcock,whistle,11618,3.0
149,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,466.18815,469.18815,3.825525,8.684976,eurwoo,Eurasian Woodcock,whistle,11618,3.0
148,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,462.597675,465.597675,3.20517,8.76252,eurwoo,Eurasian Woodcock,whistle,11618,3.0
147,14569_1_2020_06_11_FVA133,20200613_192502.WAV,Spectrogram 1,1,458.077255,461.077255,4.807754,8.581583,eurwoo,Eurasian Woodcock,whistle,11618,3.0
163,14569_1_2020_06_11_FVA133,20200613_193504.WAV,Spectrogram 1,1,225.196435,228.196435,2.558966,14.500808,eurwoo,Eurasian Woodcock,whistle,11619,3.0
