recording_id,mic,species,country,date,recording_url
981238,Audiomoth,Black-headed Gull,United Kingdom,07/03/2025,https://xeno-canto.org/981238
979406,Audiomoth,Black-headed Gull,United Kingdom,28/02/2025,https://xeno-canto.org/979406
937074,Audiomoth,Black-headed Gull,United Kingdom,26/09/2024,https://xeno-canto.org/937074
919968,Audiomoth,Black-headed Gull,United Kingdom,03/07/2024,https://xeno-canto.org/919968
916836,Audiomoth,Black-headed Gull,United Kingdom,26/06/2024,https://xeno-canto.org/916836
978159,Audiomoth,Black-headed Gull,United Kingdom,16/02/2025,https://xeno-canto.org/978159
959005,Audiomoth 1.2.0,Black-headed Gull,Germany,17/06/2024,https://xeno-canto.org/959005
946738,Audiomoth,Black-headed Gull,United Kingdom,04/11/2024,https://xeno-canto.org/946738
946571,Audiomoth,Black-headed Gull,United Kingdom,04/11/2024,https://xeno-canto.org/946571
918121,Audiomoth,Black-headed Gull,United Kingdom,30/06/2024,https://xeno-canto.org/918121
918099,Audiomoth,Black-headed Gull,United Kingdom,29/06/2024,https://xeno-canto.org/918099
916818,Audiomoth,Black-headed Gull,United Kingdom,25/06/2024,https://xeno-canto.org/916818
949741,Audiomoth,Black-headed Gull,United Kingdom,09/11/2024,https://xeno-canto.org/949741
937004,Audiomoth,Black-headed Gull,United Kingdom,25/09/2024,https://xeno-canto.org/937004
979626,Audiomoth,Mediterranean Gull,France,02/03/2025,https://xeno-canto.org/979626
1035200,Audiomoth,Mediterranean Gull,United Kingdom,18/08/2025,https://xeno-canto.org/1035200
1030115,Audiomoth,Mediterranean Gull,United Kingdom,13/08/2025,https://xeno-canto.org/1030115
978428,Audiomoth,Common Gull,United Kingdom,26/02/2025,https://xeno-canto.org/978428
975884,Audiomoth,Common Gull,United Kingdom,16/02/2025,https://xeno-canto.org/975884
975883,Audiomoth,Common Gull,United Kingdom,14/02/2025,https://xeno-canto.org/975883
946736,Audiomoth,Common Gull,United Kingdom,04/11/2024,https://xeno-canto.org/946736
946735,Audiomoth,Common Gull,United Kingdom,04/11/2024,https://xeno-canto.org/946735
1063703,Audiomoth,Great Black-backed Gull,United Kingdom,08/12/2025,https://xeno-canto.org/1063703
1034992,Audiomoth,Great Black-backed Gull,United Kingdom,24/08/2025,https://xeno-canto.org/1034992
936991,Audiomoth,Great Black-backed Gull,United Kingdom,25/09/2024,https://xeno-canto.org/936991
1034991,Audiomoth,Great Black-backed Gull,United Kingdom,24/08/2025,https://xeno-canto.org/1034991
1034990,Audiomoth,Great Black-backed Gull,United Kingdom,24/08/2025,https://xeno-canto.org/1034990
947523,Audiomoth,European Herring Gull,United Kingdom,02/11/2024,https://xeno-canto.org/947523
933034,Audiomoth,European Herring Gull,United Kingdom,07/09/2024,https://xeno-canto.org/933034
1026444,Audiomoth,Caspian Gull,United Kingdom,04/08/2025,https://xeno-canto.org/1026444
831804,AudioMoth 1.2.0,Yellow-legged Gull,Germany,03/06/2023,https://xeno-canto.org/831804
1154818,Audiomoth 1.2.0,Yellow-legged Gull,Albania,10/05/2024,https://xeno-canto.org/1154818
959004,Audiomoth 1.2.0,Yellow-legged Gull,Germany,08/06/2024,https://xeno-canto.org/959004
934165,AudioMoth 1.2.0,Yellow-legged Gull,Germany,27/01/2024,https://xeno-canto.org/934165
934164,AudioMoth 1.2.0,Yellow-legged Gull,Germany,29/09/2023,https://xeno-canto.org/934164
835727,AudioMoth 1.2.0,Yellow-legged Gull,Germany,12/06/2023,https://xeno-canto.org/835727
831800,AudioMoth 1.2.0,Yellow-legged Gull,Germany,27/05/2023,https://xeno-canto.org/831800
831798,AudioMoth 1.2.0,Yellow-legged Gull,Germany,25/05/2023,https://xeno-canto.org/831798
831797,AudioMoth 1.2.0,Yellow-legged Gull,Germany,21/05/2023,https://xeno-canto.org/831797
831796,AudioMoth 1.2.0,Yellow-legged Gull,Germany,19/05/2023,https://xeno-canto.org/831796
919969,Audiomoth,Lesser Black-backed Gull,United Kingdom,03/07/2024,https://xeno-canto.org/919969
972098,AudioMoth 1.2.0,Caspian Tern,Germany,25/08/2024,https://xeno-canto.org/972098
972097,AudioMoth 1.2.0,Caspian Tern,Germany,25/08/2024,https://xeno-canto.org/972097
972096,AudioMoth 1.2.0,Caspian Tern,Germany,25/08/2024,https://xeno-canto.org/972096
972099,AudioMoth 1.2.0,Caspian Tern,Germany,27/08/2024,https://xeno-canto.org/972099
1029118,Audiomoth,Sandwich Tern,United Kingdom,09/08/2025,https://xeno-canto.org/1029118
1029123,Audiomoth,Sandwich Tern,United Kingdom,09/08/2025,https://xeno-canto.org/1029123
1029120,Audiomoth,Sandwich Tern,United Kingdom,09/08/2025,https://xeno-canto.org/1029120
1029117,Audiomoth,Sandwich Tern,United Kingdom,09/08/2025,https://xeno-canto.org/1029117
